tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
0.73  0.0798307  0.0936774  0.05  0.15  0.0107497  0.00321752  -0.1  0.1
0.74  0.0799055  0.0936183  0.05  0.15  0.011415  0.00358018  -0.1  0.1
0.75  0.0799467  0.0935857  0.05  0.15  0.0120996  0.00388779  -0.1  0.1
0.76  0.0799545  0.0935801  0.05  0.15  0.0128045  0.00414061  -0.1  0.1
0.77  0.0799289  0.0936018  0.05  0.15  0.013531  0.00433946  -0.1  0.1
0.78  0.0798697  0.0936505  0.05  0.15  0.0142803  0.00448556  -0.1  0.1
0.79  0.0797767  0.0937257  0.05  0.15  0.0150539  0.00458059  -0.1  0.1
0.8  0.0796493  0.0938266  0.05  0.15  0.0158536  0.00462655  -0.1  0.1
0.81  0.0794871  0.0939521  0.05  0.15  0.0166812  0.0046258  -0.1  0.1
0.82  0.0792893  0.094101  0.05  0.15  0.0175388  0.00458099  -0.1  0.1
0.83  0.0790549  0.0942716  0.05  0.15  0.0184287  0.00449502  -0.1  0.1
0.84  0.0787831  0.0944622  0.05  0.15  0.0193532  0.0043711  -0.1  0.1
0.85  0.0784725  0.0946708  0.05  0.15  0.020315  0.00421263  -0.1  0.1
0.86  0.078122  0.0948954  0.05  0.15  0.0213168  0.00402331  -0.1  0.1
0.87  0.0777301  0.0951335  0.05  0.15  0.0223616  0.00380705  -0.1  0.1
0.88  0.0772951  0.0953827  0.05  0.15  0.0234526  0.00356805  -0.1  0.1
0.89  0.0768155  0.0956401  0.05  0.15  0.024593  0.00331078  -0.1  0.1
0.9  0.0762894  0.0959029  0.05  0.15  0.0257862  0.00304002  -0.1  0.1
0.91  0.0757148  0.0961678  0.05  0.15  0.0270359  0.00276089  -0.1  0.1
0.92  0.0750897  0.0964313  0.05  0.15  0.0283459  0.00247891  -0.1  0.1
0.93  0.0744118  0.0966897  0.05  0.15  0.0297201  0.00220002  -0.1  0.1
0.94  0.0736788  0.0969388  0.05  0.15  0.0311626  0.00193066  -0.1  0.1
0.95  0.0728883  0.097174  0.05  0.15  0.0326775  0.00167786  -0.1  0.1
0.96  0.0720378  0.0973904  0.05  0.15  0.0342694  0.00144927  -0.1  0.1
0.97  0.0711246  0.0975826  0.05  0.15  0.0359425  0.00125331  -0.1  0.1
0.98  0.0701461  0.0977444  0.05  0.15  0.0377016  0.00109924  -0.1  0.1
0.99  0.0690993  0.0978692  0.05  0.15  0.0395513  0.000997258  -0.1  0.1
1  0.0679815  0.0979495  0.05  0.15  0.0414965  0.000958697  -0.1  0.1
1.01  0.0667896  0.0979771  0.05  0.15  0.0435419  0.000996114  -0.1  0.1
1.02  0.0655207  0.0979427  0.05  0.15  0.0456926  0.00112348  -0.1  0.1
1.03  0.0641718  0.097836  0.05  0.15  0.0479535  0.00135637  -0.1  0.1
1.04  0.0627398  0.0976456  0.05  0.15  0.0503295  0.00171214  -0.1  0.1
1.05  0.0612217  0.0973586  0.05  0.15  0.0528257  0.00221018  -0.1  0.1
1.06  0.0596145  0.0969605  0.05  0.15  0.0554467  0.00287218  -0.1  0.1
1.07  0.0579151  0.0964354  0.05  0.15  0.0581976  0.00372236  -0.1  0.1
1.08  0.0561209  0.0957653  0.05  0.15  0.0610827  0.00478786  -0.1  0.1
1.09  0.0542291  0.0949298  0.05  0.15  0.0641066  0.00609899  -0.1  0.1
1.1  0.052237  0.0939066  0.05  0.15  0.0672734  0.0076897  -0.1  0.1
1.11  0.0501425  0.0926702  0.05  0.15  0.0705867  0.00959798  -0.1  0.1
1.12  0.0479434  0.0911926  0.05  0.15  0.0740501  0.0118663  -0.1  0.1
1.13  0.0456382  0.0894419  0.05  0.15  0.0776662  0.0145422  -0.1  0.1
1.14  0.0432255  0.0873829  0.05  0.15  0.0814372  0.0176787  -0.1  0.1
1.15  0.0407046  0.084976  0.05  0.15  0.0853645  0.0213353  -0.1  0.1
1.16  0.0380754  0.0821771  0.05  0.15  0.0894485  0.0255783  -0.1  0.1
1.17  0.0353384  0.0789367  0.05  0.15  0.0936886  0.0304818  -0.1  0.1
1.18  0.0324952  0.0751999  0.05  0.15  0.0980828  0.0361284  -0.1  0.1
1.19  0.0295481  0.070905  -0.15  0.15  0.102628  0.0426105  -0.1  0.4
1.2  0.0265006  0.0659836  -0.15  0.15  0.107318  0.0500311  -0.1  0.4
1.21  0.0233578  0.0603645  -0.15  0.15  0.112147  0.0584945  -0.1  0.4
1.22  0.0201259  0.0539972  -0.15  0.15  0.117105  0.0680628  -0.1  0.4
1.23  0.0168131  0.0468709  -0.15  0.15  0.12218  0.0787237  -0.1  0.4
1.24  0.013429  0.039024  -0.15  0.15  0.127358  0.0903794  -0.1  0.4
