tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
0.84  0.0324539  0  -0.1  0.1  0.0156617  0  0.05  0.15
0.85  0.0335559  0  -0.1  0.1  0.0140334  0  0.05  0.15
0.86  0.0346914  0  -0.1  0.1  0.012323  0  0.05  0.15
0.87  0.0358616  0  -0.1  0.1  0.0105282  0  0.05  0.15
0.88  0.0370677  0  -0.1  0.1  0.00864693  0  0.05  0.15
0.89  0.0383108  0  -0.1  0.1  0.00667682  0  0.05  0.15
0.9  0.039592  0  -0.1  0.1  0.00461566  0  0.05  0.15
0.91  0.0409126  0  -0.1  0.1  0.00246113  0  0.05  0.15
0.92  0.0422739  0  -0.1  0.1  0.000210616  0  0.05  0.15
0.93  0.0436772  0  -0.1  0.1  -0.00213857  0  0.05  0.15
0.94  0.0451238  0  -0.1  0.1  -0.00458912  0  0.05  0.15
0.95  0.0466152  0  -0.1  0.1  -0.00714372  0  0.05  0.15
0.96  0.0481528  0  -0.1  0.1  -0.00980516  0  0.05  0.15
0.97  0.049738  0  -0.1  0.1  -0.0125766  0  0.05  0.15
0.98  0.0513724  0  -0.1  0.1  -0.0154611  0  0.05  0.15
0.99  0.0530577  0  -0.1  0.1  -0.0184621  0  0.05  0.15
1  0.0547955  0  -0.1  0.1  -0.0215826  0  0.05  0.15
1.01  0.0565873  0  -0.1  0.1  -0.0248261  0  0.05  0.15
1.02  0.058435  0  -0.1  0.1  -0.0281962  0  0.05  0.15
1.03  0.0603405  0  -0.1  0.1  -0.0316967  0  0.05  0.15
1.04  0.0623055  0  -0.1  0.1  -0.0353314  0  0.05  0.15
1.05  0.064332  0  -0.1  0.1  -0.0391043  0  0.05  0.15
1.06  0.0664219  0  -0.1  0.1  -0.0430191  0  0.05  0.15
1.07  0.0685773  0  -0.1  0.1  -0.0470804  0  0.05  0.15
1.08  0.0708003  0  -0.1  0.1  -0.0512926  0  0.05  0.15
1.09  0.0730932  0  -0.1  0.1  -0.0556602  0  0.05  0.15
1.1  0.0754581  0  -0.1  0.1  -0.0601878  0  0.05  0.15
1.11  0.0778972  0  -0.1  0.1  -0.06488  0  0.05  0.15
1.12  0.0804131  0  -0.1  0.1  -0.069742  0  0.05  0.15
1.13  0.0830082  0  -0.1  0.1  -0.0747791  0  0.05  0.15
1.14  0.085685  0  -0.1  0.1  -0.0799967  0  0.05  0.15
1.15  0.0884462  0  -0.1  0.1  -0.0854001  0  0.05  0.15
1.16  0.0912942  0  -0.1  0.1  -0.0909947  0  0.05  0.15
1.17  0.094232  0  -0.1  0.1  -0.0967868  0  0.05  0.15
1.18  0.0972623  0  -0.1  0.1  -0.102782  0  0.05  0.15
1.19  0.100388  0  -0.1  0.1  -0.108988  0  0.05  0.15
1.2  0.103612  0  -0.1  0.1  -0.11541  0  0.05  0.15
1.21  0.106938  0  -0.1  0.1  -0.122054  0  0.05  0.15
1.22  0.110368  0  -0.1  0.1  -0.128927  0  0.05  0.15
1.23  0.113905  0  -0.1  0.1  -0.136038  0  0.05  0.15
1.24  0.117553  0  -0.1  0.1  -0.143392  0  0.05  0.15
1.25  0.121314  0  -0.1  0.1  -0.150997  0  0.05  0.15
1.26  0.125191  0  -0.1  0.5  -0.158861  0  -0.15  0.15
1.27  0.129188  0  -0.1  0.5  -0.166991  0  -0.15  0.15
1.28  0.133305  0  -0.1  0.5  -0.175395  0  -0.15  0.15
1.29  0.137546  0  -0.1  0.5  -0.18408  0  -0.15  0.15
1.3  0.141911  0  -0.1  0.5  -0.193054  0  -0.15  0.15
1.31  0.146404  0  -0.1  0.5  -0.202326  0  -0.15  0.15
1.32  0.15102  0  -0.1  0.5  -0.2119  0  -0.15  0.15
1.33  0.155758  0  -0.1  0.5  -0.221784  0  -0.15  0.15
1.34  0.160612  0  -0.1  0.5  -0.231983  0  -0.15  0.15
