tc   x    zmpx    ubx   lbx   y    zmpy    uby   lby
0.68  0.0185485  0.00663213  -0.1  0.1  0.0510648  0.0733576  0.05  0.15
0.69  0.0191186  0.006613  -0.1  0.1  0.0516357  0.074078  0.05  0.15
0.7  0.019701  0.00660612  -0.1  0.1  0.0521847  0.0747765  0.05  0.15
0.71  0.0202962  0.00647781  -0.1  0.1  0.0527116  0.075501  0.05  0.15
0.72  0.0209049  0.00636303  -0.1  0.1  0.0532161  0.0762032  0.05  0.15
0.73  0.0215279  0.00618515  -0.1  0.1  0.053698  0.0769066  0.05  0.15
0.74  0.022166  0.00602231  -0.1  0.1  0.0541573  0.0775872  0.05  0.15
0.75  0.0228198  0.00589157  -0.1  0.1  0.0545935  0.0782252  0.05  0.15
0.76  0.0234903  0.00577743  -0.1  0.1  0.0550066  0.07884  0.05  0.15
0.77  0.0241781  0.00556731  -0.1  0.1  0.0553964  0.0794794  0.05  0.15
0.78  0.0248842  0.00537544  -0.1  0.1  0.0557625  0.0800953  0.05  0.15
0.79  0.0256094  0.00526068  -0.1  0.1  0.0561048  0.0806521  0.05  0.15
0.8  0.0263545  0.00516587  -0.1  0.1  0.0564231  0.0811848  0.05  0.15
0.81  0.0271204  0.00493138  -0.1  0.1  0.056717  0.0817694  0.05  0.15
0.82  0.0279081  0.00471863  -0.1  0.1  0.0569864  0.0823293  0.05  0.15
0.83  0.0287184  0.00444109  -0.1  0.1  0.057231  0.0829058  0.05  0.15
0.84  0.0295526  0.00418735  -0.1  0.1  0.0574504  0.0834571  0.05  0.15
0.85  0.0304117  0.00399285  -0.1  0.1  0.0576444  0.0839648  0.05  0.15
0.86  0.0312966  0.00382424  -0.1  0.1  0.0578125  0.0844467  0.05  0.15
0.87  0.0322085  0.00354342  -0.1  0.1  0.0579545  0.0849723  0.05  0.15
0.88  0.0331484  0.00329068  -0.1  0.1  0.0580701  0.0854714  0.05  0.15
0.89  0.0341177  0.00315091  -0.1  0.1  0.0581588  0.0859031  0.05  0.15
0.9  0.0351172  0.00304149  -0.1  0.1  0.0582203  0.0863076  0.05  0.15
0.91  0.0361482  0.00276215  -0.1  0.1  0.0582542  0.0867874  0.05  0.15
0.92  0.037212  0.00251554  -0.1  0.1  0.0582602  0.0872393  0.05  0.15
0.93  0.0383098  0.00219608  -0.1  0.1  0.0582378  0.087719  0.05  0.15
0.94  0.0394429  0.00191201  -0.1  0.1  0.0581865  0.0881698  0.05  0.15
0.95  0.0406128  0.0017131  -0.1  0.1  0.0581059  0.0885704  0.05  0.15
0.96  0.0418209  0.00155231  -0.1  0.1  0.0579953  0.0889412  0.05  0.15
0.97  0.0430684  0.00126281  -0.1  0.1  0.0578544  0.0893697  0.05  0.15
0.98  0.044357  0.00101427  -0.1  0.1  0.0576827  0.0897672  0.05  0.15
0.99  0.0456879  0.000907682  -0.1  0.1  0.0574795  0.0900878  0.05  0.15
1  0.0470628  0.000844981  -0.1  0.1  0.0572443  0.0903765  0.05  0.15
1.01  0.048483  0.000599722  -0.1  0.1  0.0569767  0.0907512  0.05  0.15
1.02  0.0499501  0.00040139  -0.1  0.1  0.056676  0.0910928  0.05  0.15
1.03  0.0514658  0.000138073  -0.1  0.1  0.0563415  0.0914622  0.05  0.15
1.04  0.0530318  -7.49422e-05  -0.1  0.1  0.0559726  0.0917972  0.05  0.15
1.05  0.0546498  -0.000179243  -0.1  0.1  0.0555686  0.0920737  0.05  0.15
1.06  0.0563215  -0.000229811  -0.1  0.1  0.0551288  0.0923144  0.05  0.15
1.07  0.0580487  -0.000374148  -0.1  0.1  0.0546526  0.0925984  0.05  0.15
1.08  0.0598332  -0.000461231  -0.1  0.1  0.0541392  0.0928452  0.05  0.15
1.09  0.0616767  -0.00042049  -0.1  0.1  0.0535878  0.0930248  0.05  0.15
1.1  0.0635811  -0.000318894  -0.1  0.1  0.0529978  0.0931658  0.05  0.15
1.11  0.0655482  -0.000276041  -0.1  0.1  0.0523685  0.0933333  0.05  0.15
1.12  0.0675797  -0.00016868  -0.1  0.1  0.0516989  0.0934607  0.05  0.15
1.13  0.0696776  -1.87823e-05  -0.1  0.1  0.0509885  0.0935643  0.05  0.15
1.14  0.0718439  0.000199418  -0.1  0.1  0.0502363  0.0936261  0.05  0.15
1.15  0.0740803  0.000529268  -0.1  0.1  0.0494417  0.09363  0.05  0.15
1.16  0.0763888  0.000931199  -0.1  0.1  0.0486037  0.0935905  0.05  0.15
1.17  0.0787713  0.00152863  -0.1  0.1  0.0477216  0.0934513  0.05  0.15
1.18  0.0812294  0.00220175  -0.1  0.1  0.0467947  0.0932673  0.05  0.15
1.19  0.0837651  0.00278806  -0.1  0.1  0.0458223  0.093125  0.05  0.15
1.2  0.08638  0.00345372  -0.1  0.1  0.0448035  0.0929364  0.05  0.15
